,Module,Function,Number.genes,
black,black,Myogenesis/Muscle contraction,42,+
blue,blue,Respiration/Mitochondrial translation,357,+
brown,brown,Chromatin modification/Transcription,255,+
cyan,cyan,Heme metabolism,20,-
darkgreen,darkgreen,Cell adhesion/VEGF signaling,36,?
darkgrey,darkgrey,Protein processing/mTOR signaling,31,+
darkorange,darkorange,Lipid met/PPAR signaling,17,-
darkred,darkred,Cholesterol met/mTOR signaling,26,+
darkturquoise,darkturquoise,Coagulation/Xenobiotic met,14,+
green,green,Cell cycle,97,+
greenyellow,greenyellow,ECM organization/EMT,59,+
grey60,grey60,Apoptosis/Nrf2 signaling/Proteasome,52,+
lightcyan,lightcyan,Circadian clock,17,-
lightgreen,lightgreen,Interferon signaling,59,+
lightyellow,lightyellow,Nrf2 signaling/Proteasome,16,?
magenta,magenta,Amino acid met/Coagulation/Xenobiotic met,54,+
midnightblue,midnightblue,mRNA splicing,52,+
orange,orange,Fatty acid met/Peroxisome,30,+
pink,pink,Adaptive immunity/T cell signaling,93,+
purple,purple,-,67,+
red,red,Translation/Ribosome,117,+
royalblue,royalblue,-,12,-
salmon,salmon,Cholesterol met/Platelet degranulation,12,+
skyblue,skyblue,Heat stress response,20,?
tan,tan,Oxidative phosphorylation/TCA cycle,61,+
turquoise,turquoise,Innate immunity/Inflammation,332,+
white,white,Nuclear lamina depolymerization,24,+
yellow,yellow,Chromatin modification/Transcription 2,169,+
