,Module,Function,Number.genes
blue,blue,Myogenesis/Muscle contraction,92
brown4,brown4,ECM organization/EMT,78
darkgreen,darkgreen,Adaptive immunity/T cell signaling,79
darkmagenta,darkmagenta,Interferon signaling,45
darkred,darkred,mRNA splicing,79
darkslateblue,darkslateblue,Protein processing in ER/UPR,24
floralwhite,floralwhite,Coagulation/Xenobiotic met,23
green,green,Cell cycle/DNA replication,117
ivory,ivory,Fatty acid metabolism/Peroxisome,20
orange,orange,Chromatin modification,169
pink,pink,Mitochondrial translation/OxPhos,186
plum1,plum1,Protein folding/Translation,21
sienna3,sienna3,VEGF signaling,45
turquoise,turquoise,Innate immunity/Inflammation,238
white,white,OxPhos/Heme metabolism,68
